SUMLEV,REGION,DIVISION,STATE,NAME,GDP2014,GDP2013,GDP2012,GDP2011,GDP2010,GDP2009,GDP2008,GDP2007,GDP2006,GDP2005
40,3,6,1,北京,21330.83,19800.81,17879.4,16251.93,14113.58,12153.03,11115,9846.81,8117.78,6969.52
40,4,9,2,天津,15722.47,14442.01,12893.88,11307.28,9224.46,7521.85,6719.01,5252.76,4462.74,3905.64
40,4,8,3,河北,29421.15,28442.95,26575.01,24515.76,20394.26,17235.48,16011.97,13607.32,11467.6,10012.11
40,3,7,4,山西,12759.44,12665.25,12112.83,11237.55,9200.86,7358.31,7315.4,6024.45,4878.61,4230.53
40,4,9,5,内蒙古,17769.51,16916.5,15880.58,14359.88,11672,9740.25,8496.2,6423.18,4944.25,3905.03
40,4,8,6,辽宁,28626.58,27213.22,24846.43,22226.7,18457.27,15212.49,13668.58,11164.3,9304.52,8047.26
40,1,1,7,吉林,13803.81,13046.4,11939.24,10568.83,8667.58,7278.75,6426.1,5284.69,4275.12,3620.27
40,3,5,8,黑龙江,15039.38,14454.91,13691.58,12582,10368.6,8587,8314.37,7104,6211.8,5513.7
40,3,5,9,上海,23560.94,21818.15,20181.72,19195.69,17165.98,15046.45,14069.86,12494.01,10572.24,9247.66
40,3,5,10,江苏,65088.32,59753.37,54058.22,49110.27,41425.48,34457.3,30981.98,26018.48,21742.05,18598.69
40,3,5,11,浙江,40153.5,37756.59,34665.33,32318.85,27722.31,22990.35,21462.69,18753.73,15718.47,13417.68
40,4,9,12,安徽,20848.75,19229.34,17212.05,15300.65,12359.33,10062.82,8851.66,7360.92,6112.5,5350.17
40,4,8,13,福建,24055.76,21868.49,19701.78,17560.18,14737.12,12236.53,10823.01,9248.53,7583.85,6554.69
40,2,3,14,江西,15708.59,14410.19,12948.88,11702.82,9451.26,7655.18,6971.05,5800.25,4820.53,4056.76
40,2,3,15,山东,59426.59,55230.32,50013.24,45361.85,39169.92,33896.65,30933.28,25776.91,21900.19,18366.87
40,2,4,16,河南,34939.38,32191.3,29599.31,26931.03,23092.36,19480.46,18018.53,15012.46,12362.79,10587.42
40,2,4,17,湖北,27367.04,24791.83,22250.45,19632.26,15967.61,12961.1,11328.92,9333.4,7617.47,6590.19
40,3,6,18,湖南,27048.46,24621.67,22154.23,19669.56,16037.96,13059.69,11555,9439.6,7688.67,6596.1
40,3,7,19,广东,67792.24,62474.79,57067.92,53210.28,46013.06,39482.56,36796.71,31777.01,26587.76,22557.37
40,1,1,20,广西,15672.97,14449.9,13035.1,11720.87,9569.85,7759.16,7021,5823.41,4746.16,3984.1
40,3,5,21,海南,3500.72,3177.56,2855.54,2522.66,2064.5,1654.21,1503.06,1254.17,1065.67,918.75
40,1,1,22,重庆,14265.4,12783.26,11409.6,10011.37,7925.58,6530.01,5793.66,4676.13,3907.23,3467.72
40,2,3,23,四川,28536.66,26392.07,23872.8,21026.68,17185.48,14151.28,12601.23,10562.39,8690.24,7385.1
40,2,4,24,贵州,9251.01,8086.86,6852.2,5701.84,4602.16,3912.68,3561.56,2884.11,2338.98,2005.42
40,3,6,25,云南,12814.59,11832.31,10309.47,8893.12,7224.18,6169.75,5692.12,4772.52,3988.14,3462.73
40,2,4,26,西藏,920.83,815.67,701.03,605.83,507.46,441.36,394.85,341.43,290.76,248.8
40,4,8,27,陕西,17689.94,16205.45,14453.68,12512.3,10123.48,8169.8,7314.58,5757.29,4743.61,3933.72
40,2,4,28,甘肃,6835.27,6330.69,5650.2,5020.37,4120.75,3387.56,3166.82,2703.98,2277.35,1933.98
40,4,8,29,青海,2301.12,2122.06,1893.54,1670.44,1350.43,1081.27,1018.62,797.35,648.5,543.32
40,1,1,30,宁夏,2752.1,2577.57,2341.29,2102.21,1689.65,1353.31,1203.92,919.11,725.9,612.61
40,1,2,31,新疆,9264.1,8443.84,7505.31,6610.05,5437.47,4277.05,4183.21,3523.16,3045.26,2604.19
40,1,3,32,香港,0,1,2,3,4,5,6,7,8,9
40,1,4,33,澳门,0,1,2,3,4,5,6,7,8,9
40,1,5,34,台湾,0,1,2,3,4,5,6,7,8,9
